"SERVER";"TYPE 1";"MODEL";"MARQUE";"TYPE 2";"APP";"VSI";"Criticit?";"DEPART";"RESP";"SITE";"Powerstate";"OS EDITOR";"OS VERSION";"Creation date";"Primary IP Address";"IDRAC / ILO";"Host";"Garantie"
"Admin-NIT-Opentext";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"NEURONES";;"Basse";"NEURONES";"NEURONES";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";;;"172.17.20.59";
"AEDUB02";"PHYSICALSTAGO";"Dell Poweredge R320";"DELL";"STAGO - ONPREM";"FILER";"Non";"Basse";"INFRA";"GUINNEBAULT";"UNITED ARAB EMIRATES/DUBAI";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.20.190.5";;;"19/08/2018 00:00:00"
"AEDUB04";"PHYSICALSTAGO";"Dell Poweredge R430";"DELL";"STAGO - ONPREM";"BCK";"Non";"Basse";"INFRA";"GUINNEBAULT";"UNITED ARAB EMIRATES/DUBAI";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.20.190.226";;;"25/03/2020 00:00:00"
"AEPACK11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PACK";"Non";"Basse";"INFRA";"RAYMOND";"FRANCE/ASNI?RES";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/05/2022 16:31:18";"172.31.108.115";;"frspresx001.stago.grp";
"AgentTC01";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"11/05/2022 09:41:14";"172.31.129.65";;"172.31.129.10";
"AgentTC02";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 09:56:36";"172.31.129.86";;"172.31.129.10";
"AgentTC03";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 09:58:47";"172.31.129.64";;"172.31.129.10";
"AgentTC04";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:00:59";"172.31.129.155";;"172.31.129.10";
"AgentTC05";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:03:07";"172.31.129.169";;"172.31.129.10";
"AgentTC06";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:05:17";"172.31.129.153";;"172.31.129.10";
"AgentTC07";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:07:23";"172.31.129.154";;"172.31.129.10";
"AgentTC08";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:09:29";"172.31.129.85";;"172.31.129.10";
"AgentTC09";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:11:33";"172.31.129.171";;"172.31.129.10";
"AgentTC10";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:13:35";"172.31.129.62";;"172.31.129.10";
"AgentTC11";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:15:34";"172.31.129.168";;"172.31.129.10";
"AgentTC12";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:17:32";"172.31.129.63";;"172.31.129.10";
"AgentTC13";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:19:24";"172.31.129.157";;"172.31.129.10";
"AgentTC14";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:21:10";"172.31.129.152";;"172.31.129.10";
"AgentTC15";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:22:51";"172.31.129.151";;"172.31.129.10";
"AgentTC16";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:24:29";"172.31.129.60";;"172.31.129.10";
"AgentTC17";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:26:08";"172.31.129.156";;"172.31.129.10";
"AgentTC18";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:27:48";"172.31.129.150";;"172.31.129.10";
"AgentTC19";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:29:27";"172.31.129.84";;"172.31.129.10";
"AgentTC20";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:31:07";"172.31.129.57";;"172.31.129.10";
"AgentTC21";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:32:49";"172.31.129.167";;"172.31.129.10";
"AgentTC22";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:34:27";"172.31.129.170";;"172.31.129.10";
"AgentTC23";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:36:05";"172.31.129.61";;"172.31.129.10";
"AgentTC24";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:37:44";"172.31.129.83";;"172.31.129.10";
"AgentTC25";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:39:24";"172.31.129.166";;"172.31.129.10";
"AgentTCADK01";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"29/08/2022 14:47:36";;;"172.31.129.10";
"AgentTCDocker01";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Linux";"CentOS 7 (64-bit)";"18/03/2022 10:29:36";"172.31.129.52";;"172.31.129.10";
"AgentTCGUI01";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"12/03/2020 09:43:49";;;"172.31.129.10";
"AgentTCGUI02";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/06/2022 17:38:59";;;"172.31.129.10";
"AgentTCGUI03";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/06/2022 17:40:53";;;"172.31.129.10";
"AgentTCGUI04";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/06/2022 17:42:43";;;"172.31.129.10";
"AgentTCGUI05";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/06/2022 17:44:39";"172.31.129.54";;"172.31.129.10";
"AgentTCGUI06";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/06/2022 17:46:38";;;"172.31.129.10";
"AgentTCGUI07";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/06/2022 17:48:37";"172.31.129.147";;"172.31.129.10";
"AgentTCGUI-Template";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/06/2022 17:35:18";;;"172.31.129.10";
"AgentTCPython01";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Linux";"CentOS 7 (64-bit)";"17/03/2020 13:48:06";;;"172.31.129.10";
"AgentTCPython-Template";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Linux";"CentOS 7 (64-bit)";"01/09/2021 09:46:44";;;"172.31.129.10";
"AgentTCQNG01";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"07/08/2020 08:41:18";;;"172.31.129.10";
"AgentTCQNG-Template";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"05/08/2021 16:55:42";;;"172.31.129.10";
"AgentTC-Template";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"Off";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 09:46:57";;;"172.31.129.10";
"AMADA11";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"AD - DC";"Non";"Basse";"INFRA";"NAGUET";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows Server 2016 or later (64-bit)";"08/07/2021 12:07:51";"172.20.220.13";;"172.17.20.59";
"AMADA12";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"AD - DC";"Non";"Basse";"INFRA";"NAGUET";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows Server 2016 or later (64-bit)";"14/04/2022 15:58:44";"172.20.220.14";;"172.17.20.62";
"APPLBE02";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"LICENCES";;"Basse";"APPLI";"SCORY";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2008 (32-bit)";"01/01/1970 01:00:00";"172.31.210.12";;"172.17.20.64";
"ASFWSMART";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"FW";"Non";"Basse";"RSO";"ADE";"FRANCE/DATACENTER OVH/Roubaix";"On";"Linux";"Red Hat Enterprise Linux 6 (64-bit)";"01/01/1970 01:00:00";"172.31.100.10";;"172.17.20.50";
"ATPACK11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PACK";"Non";"Basse";"INFRA";"RAYMOND";"FRANCE/GENNEVILLIERS";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/05/2022 16:27:27";"172.31.110.50";;"frspresx021.stago.grp";
"AUMEL08";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FILER";;"Basse";"INFRA";"GUINNEBAULT";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows Server 2016 (64-bit)";"12/04/2022 09:12:43";"172.20.185.5";;"aumel98.au.stago.grp";
"AUMEL11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"AD - DC";;"Basse";"INFRA";"NAGUET";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows Server 2016 (64-bit)";"08/04/2022 15:37:41";"172.20.185.243";;"aumel98.au.stago.grp";
"AUMEL98";"PHYSICALSTAGO";"Poweredge R540";"DELL";"STAGO - ONPREM";"ESX";"Non";"Basse";"INFRA";"GUINNEBAULT";"AUSTRALIA/MELBOURNE";"On";"VMWARE";"7.0";"01/01/1970 01:00:00";"172.20.185.130";"172.20.185.131";;"05/02/2025 00:00:00"
"AUMELFWSTAGO001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FW";"Non";"Basse";"RSO";"ADE";"AUSTRALIA/MELBOURNE";"On";"Linux";"Other (64-bit)";"27/10/2022 13:53:37";"172.31.4.237";;"aumel98.au.stago.grp";
"AUMELFWSTAGO002";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FW";;"Basse";"RSO";"ADE";"AUSTRALIA/MELBOURNE";"On";"Linux";"Red Hat Enterprise Linux 5 (64-bit)";"06/04/2022 15:29:31";"172.31.5.99";;"aumel98.au.stago.grp";
"AUNET99";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FW";;"Basse";"RSO";"ADE";"AUSTRALIA/MELBOURNE";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/04/2022 12:02:21";"172.20.185.6";;"aumel98.au.stago.grp";
"AUPACK11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PACK";;"Basse";"INFRA";"RAYMOND";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"09/05/2022 12:07:54";"172.31.185.58";;"aumel98.au.stago.grp";
"AUPBX01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"AUTOCOM";;"Basse";"RSO";"LAMBERT";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/04/2022 12:09:31";"192.168.0.19";;"aumel98.au.stago.grp";
"AUSEC03";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"VARONIS";;"Basse";"RSO";"OUDIN";"AUSTRALIA/MELBOURNE";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2003 Standard (32-bit)";"14/10/2020 00:00:00";;;"aumel98.au.stago.grp";
"AUSEC04";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"?";;"Basse";"RSO";"ADE";"AUSTRALIA/MELBOURNE";"D?commissionn?";"Linux";"CentOS 4/5 (64-bit)";"06/04/2022 14:46:24";;;"aumel98.au.stago.grp";
"AUSEN01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SENTRY";;"Basse";"RSO";"ADE";"AUSTRALIA/MELBOURNE";"On";"Linux";"Red Hat Enterprise Linux 5 (64-bit)";"01/04/2022 12:21:05";"?";;"aumel98.au.stago.grp";
"AUSPRADC001";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"AD - DC";"Non";"Basse";"INFRA";"NAGUET";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows Server 2016 or later (64-bit)";"02/11/2021 09:56:39";"172.20.220.17";;"172.17.20.67";
"AUSPRBCK001";"PHYSICALSTAGO";"Dell Poweredge R340";"DELL";"STAGO - ONPREM";"BCK";"Non";"Basse";"INFRA";"GUINNEBAULT";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows Server 2016 (64-bit)";"01/01/1970 01:00:00";"172.20.185.226";"172.31.185.16";;"30/03/2025 00:00:00"
"AUSPRDHC001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"DHCP";;"Basse";"RSO";"ADE";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows Server 2019 (64-bit)";"15/04/2022 17:58:33";"172.20.185.250";;"aumel98.au.stago.grp";
"AUSPRPRN001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PRINTER";;"Basse";"INFRA";"GUINNEBAULT";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows Server 2019 (64-bit)";"15/04/2022 14:41:05";"172.20.185.10";;"aumel98.au.stago.grp";
"AUWPRSCM001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SCCM";;"Basse";"INFRA";"RAYMOND";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/04/2022 12:26:51";"172.31.185.219";;"aumel98.au.stago.grp";
"AUWPRUPS001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"UPS";"Non";"Basse";"INFRA";"FRAGOMINI";"AUSTRALIA/MELBOURNE";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"15/07/2022 14:10:53";"172.31.185.65";;"aumel98.au.stago.grp";
"Baie SAN Beijing";"PHYSICALSTAGO";"Dell Storage SCv3020";"DELL";"STAGO - ONPREM";"STORAGE";;"Basse";"INFRA";"GUINNEBAULT";"CHINA/BEIJING";"On";"DELL";;"30/12/1899 00:00:00";"172.31.3.150";;;"03/02/2025 00:00:00"
"Baie SAN BRAY";"PHYSICALSTAGO";"Dell Storage SCv3020";"DELL";"STAGO - ONPREM";"STORAGE";;"Basse";"INFRA";"GUINNEBAULT";"IRELAND/BRAY";"on";"DELL";;"30/12/1899 00:00:00";"172.31.166.215";;;"18/03/2024 00:00:00"
"Baie SAN Lemgo";"PHYSICALSTAGO";"Dell Storage SCv3020";"DELL";"STAGO - ONPREM";"STORAGE";;"Basse";"INFRA";"GUINNEBAULT";"GERMANY/LEMGO";"On";"DELL";;"30/12/1899 00:00:00";"172.31.167.206";;;"18/03/2024 00:00:00"
"BEPACK11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PACK";"Non";"Basse";"INFRA";"RAYMOND";"FRANCE/GENNEVILLIERS";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/05/2022 16:08:41";"172.31.110.16";;"frspresx021.stago.grp";
"BRAUT01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"AUTOCOM";"Non";"Basse";"RSO";"LAMBERT";"BRAZIL/SAO PAULO";"On";"Linux";"SUSE openSUSE (64-bit)";"18/05/2022 17:19:04";"172.31.184.244";;"brsao99.stago.grp";
"BRPACK11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PACK";"Non";"Basse";"INFRA";"RAYMOND";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/05/2022 16:05:57";"172.31.184.96";;"brsao99.stago.grp";
"BRSAO04";"PHYSICALSTAGO";"Dell Poweredge R530";"DELL";"STAGO - ONPREM";"BCK";"Non";"Basse";"PROD";"INFRA";"BRAZIL/SAO PAULO";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.9.12";"172.31.9.3";;"24/02/2023 00:00:00"
"BRSAO08";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FILER";;"Basse";"INFRA";"GUINNEBAULT";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows Server 2019";"12/04/2022 15:31:19";"172.20.184.5";;"brsao99.stago.grp";
"BRSAO90";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"AD - DC";;"Basse";"INFRA";"NAGUET";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows Server 2016 (64-bit)";"14/04/2022 17:21:33";"172.20.184.243";;"brsao99.stago.grp";
"BRSAO99";"PHYSICALSTAGO";"PowerEdge R630";"DELL";"STAGO - ONPREM";"ESX";"Non";"Basse";"PROD";"INFRA";"BRAZIL/SAO PAULO";"D?commissionn?";"VMWARE";"7.0";"01/01/1970 01:00:00";"172.31.9.10";"172.31.9.2";;"24/02/2023 00:00:00"
"BRSAOFWSTAGO002";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FW";;"Basse";"RSO";"ADE";"BRAZIL/SAO PAULO";"On";"Linux";"Red Hat Enterprise Linux 5 (64-bit)";"12/04/2022 14:25:35";"201.48.188.50";;"brsao99.stago.grp";
"BRSAOSCM11";"PHYSICALSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SCCM";"Non";"Basse";"INFRA";"RAYMOND";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"30/12/1899 00:00:00";"172.31.184.124";;;"?"
"BRSPRBCK001";"PHYSICALSTAGO";"Dell PowerEdge R450";"DELL";"STAGO - ONPREM";"BCK";"Non";"Basse";"INFRA";"GUINNEBAULT";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows Server 2019 (64-bit)";"26/04/2023 00:00:00";"172.20.184.226";"172.31.9.4";;"10/02/2030 00:00:00"
"BRSPRDHC001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"DHCP";;"Basse";"RSO";"ADE";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows Server 2019 (64-bit)";"17/04/2022 08:12:55";"172.20.184.250";;"brsao99.stago.grp";
"BRSPRESX001";"PHYSICALSTAGO";"PowerEdge R450";"DELL";"STAGO - ONPREM";"ESX";"Non";"Basse";"INFRA";"GUINNEBAULT";"BRAZIL/SAO PAULO";"On";"VMWARE";"7.0";"09/03/2023 00:00:00";"172.31.9.11";"172.31.9.14";;"10/02/2030 00:00:00"
"BRSPRPRN001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PRINTER";;"Basse";"INFRA";"GUINNEBAULT";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows Server 2019 (64-bit)";"17/04/2022 08:12:00";"172.20.184.10";;"brsao99.stago.grp";
"BRWPRITL001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"BR HOTLINE";"Non";"Basse";"BR";"CARLOS";"BRAZIL/SAO PAULO";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"03/06/2022 09:58:30";"172.31.184.83";;"brsao99.stago.grp";
"CAPACK11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PACK";"Non";"Basse";"INFRA";"RAYMOND";"UNITED STATES/PARSIPPANY";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/05/2022 15:58:49";"172.31.171.55";;"usesx11.us.am.stago.grp";
"CNBZT01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"BIZTALK";;"Basse";"APPLI";"DIAS";"CHINA/BEIJING";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.161.231";;"Cluster Pekin";
"CNCRM01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"CRM";;"Basse";"APPLI";"RANGIRA";"CHINA/BEIJING";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.161.235";;"Cluster Pekin";
"CNCRM02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"CRM";;"Basse";"APPLI";"RANGIRA";"CHINA/BEIJING";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.161.232";;"Cluster Pekin";
