"SERVER";"TYPE 1";"MODEL";"MARQUE";"TYPE 2";"APP";"VSI";"Criticit?";"DEPART";"RESP";"SITE";"Powerstate";"OS EDITOR";"OS VERSION";"Creation date";"Primary IP Address";"IDRAC / ILO";"Host";"Garantie"
"USADA04";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"AD - DC";;"Basse";"INFRA";"NAGUET";"UNITED STATES/MT. OLIVE";"On";"Microsoft";"Microsoft Windows Server 2016 or later (64-bit)";"05/04/2022 12:06:32";"172.20.174.243";;"usesx10.us.am.stago.grp";
"USCAM01";"PHYSICALSTAGO";"HEWLETT PACKARD";"EliteDesk 705 G4 APU Pro";"STAGO - ONPREM";"MTO Camera System";;"Basse";"US";"VITO";"UNITED STATES/MT. OLIVE";"On";"Microsoft";"?";"01/01/1970 01:00:00";"172.31.174.204";"?";;"?"
"USCFD01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"CONFLUENCE Dev";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.14";"?";"usesx15.us.am.stago.grp";
"USITC01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"IT";;"Basse";"PROD";"US";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.170.75";;"usesx15.us.am.stago.grp";
"USCFD02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"CONFLUENCE Dev DB";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.15";;"usesx15.us.am.stago.grp";"?"
"USCFP01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"CONFLUENCE Prd";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.16";;"usesx13.us.am.stago.grp";
"USCFP02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"CONFLUENCE Prd DB";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.17";;"usesx13.us.am.stago.grp";
"uscolfwstago02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FW";;"Haute";"RSO";"ADE";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Red Hat Enterprise Linux 5 (64-bit)";"06/04/2022 13:17:06";"172.31.5.20";;"usesx12.us.am.stago.grp";
"USDEV01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"LEBORGNE";;"Moyen";"US";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.170.60";;"usesx15.us.am.stago.grp";
"USEKO01";"VMOVH";"VMWARE";"VMWARE";"STAGO - ONPREM";"EVOKO CONF ROOM";;"Moyen";"US";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2016 (64-bit)";"01/01/1970 01:00:00";"172.31.170.36";;"usesx16.us.am.stago.grp";
